StudentID,Name,Gender,ParentalSupport,ExtracurricularActivities
1,"Harshal Joshi",Male,High,Sports
2,"Lavanya Chaudhari",Male,Low,Music
3,"Pallavi Bansal",Female,Low,Dance
4,"Chiranjeeva Gupta",Male,Low,Chess
5,"Ayush Sharma",Female,Medium,Music
6,"Kapil Ali",Female,Medium,Cricket
7,"Brijesh Singh",Female,High,None
8,"Ashok Malhotra",Female,Low,Swimming
9,"Arnav Dubey",Female,Low,Sports
10,"Mani Chaudhari",Male,High,Science Club
11,"Farhan Srivastava",Female,Medium,None
12,"Pradeep Tripathi",Female,High,Debate
13,"Indira Agarwal",Male,Low,Art
14,"Tushar Nath",Male,High,Writing
15,"Tara Upadhyay",Male,Medium,Sports
16,"Dhruv Pillai",Male,High,Swimming
17,"Chiranjeeva Yadav",Male,High,Badminton
18,"Falguni Dwivedi",Male,High,Photography
19,"Wajira Dasgupta",Female,High,Sports
20,"Zara Gupta",Female,Medium,Football
21,"Brijesh Verma",Female,High,Dance
22,"Ila Ali",Female,High,Robotics
23,"Priya Khan",Male,Medium,Badminton
24,"Janvi Joshi",Female,Medium,Theater
25,"Jaswant Shah",Female,Low,Music
26,"Daksh Bhat",Male,High,Writing
27,"Sandeep Bansal",Male,High,Photography
28,"Yogi Agarwal",Male,Medium,Sports
29,"Yuki Trivedi",Female,High,Music
30,"Deepak Rao",Male,Medium,Dance
31,"Pooja Rao",Male,Medium,Music
32,"Indira Roy",Female,Medium,Cricket
33,"Bharat Singh",Male,Low,Art
34,"Pradeep Joshi",Female,Low,Debate
35,"Mohan Malhotra",Male,Medium,Cricket
36,"Ushma Kapoor",Female,High,Badminton
37,"Arya Bansal",Female,High,Coding
38,"Quran Biswas",Male,Medium,Yoga
39,"Suresh Sharma",Male,Low,Robotics
40,"Gyanesh Joshi",Female,Medium,Robotics
41,"Sanjay Dey",Female,High,Science Club
42,"Queen Shah",Male,Low,Debate
43,"Pallavi Dwivedi",Female,Medium,Cricket
44,"Ojaswi Joshi",Male,Medium,Art
45,"Akshay Pillai",Male,High,Football
46,"Falguni Verma",Female,High,Yoga
47,"Dhruv Dixit",Male,Low,Cricket
48,"Sandeep Dasgupta",Female,Low,Football
49,"Lavanya Saxena",Female,Medium,Chess
50,"Jayant Bhowmick",Female,High,Art
51,"Tayal Upadhyay",Female,Medium,Writing
52,"Chirag Yadav",Female,Medium,Debate
53,"Jyoti Yadav",Female,Medium,Football
54,"Olga Joshi",Male,Low,Science Club
55,"Asha Dixit",Female,Low,Basketball
56,"Leela Iyer",Male,Low,Coding
57,"Veda Iyengar",Female,Medium,Cricket
58,"Pooja Bhat",Female,Low,Badminton
59,"Wajid Mukherjee",Male,Low,Photography
60,"Arnav Kapoor",Female,High,Yoga
61,"Xavier Dixit",Male,Low,Photography
62,"Prakash Iyer",Female,Low,None
63,"Zara Shah",Male,Medium,Chess
64,"Gauravi Gupta",Female,Medium,Writing
65,"Ayush Nath",Male,High,Art
66,"Nikita Arora",Male,High,Badminton
67,"Manish Sharma",Female,High,Coding
68,"Ramya Menon",Male,High,Music
69,"Rohan Trivedi",Female,High,Theater
70,"Rahul Verma",Female,High,None
71,"Harshit Pandey",Female,High,Photography
72,"Yogesh Pillai",Male,Low,Writing
73,"Daksh Banerjee",Male,Medium,Music
74,"Mayank Shah",Male,Medium,None
75,"Asha Pandey",Female,Medium,Chess
76,"Walton Chopra",Female,Medium,Art
77,"Yuki Bansal",Male,High,Football
78,"Vasanthi Desai",Male,Low,Chess
79,"Puja Chaudhari",Female,Low,Dance
80,"Mithal Singh",Male,High,Badminton
81,"Rakesh Banerjee",Female,Medium,Chess
82,"Prem Kulkarni",Female,Medium,Writing
83,"Mani Mukherjee",Male,Medium,Theater
84,"Diya Pillai",Female,Low,Badminton
85,"Nipa Saxena",Male,High,Dance
86,"Ojaswi Kapoor",Female,Medium,Swimming
87,"Kapil Desai",Female,High,None
88,"Karan Yadav",Male,Medium,None
89,"Naveen Pandey",Male,Medium,Debate
90,"Ravi Mishra",Male,High,None
91,"Mukesh Dey",Female,High,Yoga
92,"Tanya Agarwal",Male,High,Writing
93,"Lata Shah",Male,Medium,Basketball
